"RESULT","TARGET_LOC","TARGET_TXT","SOURCE_LOC","SOURCE_TXT","SHARED","SCORE"
0,"luc. 0.0","dummy result to ensure to force at least 1 in np.count so charts print","ov. medic. 0","null","null",10
1,"luc. 9.160","Et tectum **lino** spargam **per** vulgus Osirin,","ov. medic. 81","Ut coeant apteque **lini** **per** corpora possint,","per; linum-linus",9
2,"luc. 9.921","Abrotanum, et longe nascentis **cornua** **cervi**.","ov. medic. 59","Et quae prima cadent vivaci **cornua** **cervo**,","cornu; ceruus",9
3,"luc. 4.170","Mutua **conspicuos** **habuerunt** lumina vultus,","ov. medic. 20","**Conspicuam** gemmis vultis **habere** manum:","conspicuus; habeo",8
4,"luc. 2.391","Subrepsit partemque tulit **sibi** nata **voluptas**.","ov. medic. 31","Est etiam placuisse **sibi** cuicumque **voluptas**;","sui; uoluptas",8
5,"luc. 2.358","Turritaque **premens** frontem **matrona** corona","ov. medic. 13","Cum **matrona**, **premens** altum rubicunda sedile,","matrona; premo",8
6,"luc. 10.125","Pars **auro** plumata **nitet**; pars ignea cocco,","ov. medic. 52","Candida quo possint **ora** **nitere** modo.","niteo; aurum",8
7,"luc. 8.863","Tarpeiis qui saepe **deis** sua **tura** negarunt,","ov. medic. 83","Quamvis **tura** **deos** irataque numina placent,","tus; deus",8
8,"luc. 3.449","Et tantum miseris **irasci** **numina** possunt.","ov. medic. 83","Quamvis tura deos **irataque** **numina** placent,","irascor; numen",8
9,"luc. 4.58","Atque iterum, **aequatis** ad iustae pondera **Librae**","ov. medic. 71","Utraque sex habeant **aequo** discrimine **libras**,","aequo; libra",7
10,"luc. 8.665","**Iratamque** **deis** faciem, nil ultima mortis","ov. medic. 83","Quamvis tura **deos** **irataque** numina placent,","irascor-iratus; deus",7
11,"luc. 9.914","Expurgat **cantu**, verbisque fugantibus **angues**.","ov. medic. 39","Nec mediae Marsis finduntur **cantibus** **angues**,","cantus; anguis",7
12,"luc. 10.204","**Luna** **suis** vicibus Tethyn terrenaque miscet.","ov. medic. 42","Numquam **Luna** **suis** excutietur equis.","luna-luno; suo-sus-suus",7
13,"luc. 5.425","Exierant, et **luna** **suas** iam fecerat umbras,","ov. medic. 42","Numquam **Luna** **suis** excutietur equis.","luna-luno; suo-suus",7
14,"luc. 6.59","Aut **aliquem** mundi, **quamvis** natura negasset,","ov. medic. 41","Et **quamvis** **aliquis** Temesaea removerit aera,","quamuis-quiuis; aliquis",7
15,"luc. 9.535","Aut Astraea **iubet** **lentos** descendere Pisces.","ov. medic. 58","**Lenta** **iube** scabra frangat asella mola:","lentus; iubeo",7
16,"luc. 2.385","Submovisse hiemem **tecto**: pretiosaque **vestis**,","ov. medic. 18","Vultis inaurata corpora **veste** **tegi**,","uestis; tego",7
17,"luc. 10.82","Quem, **formae** confisa **suae**, Cleopatra sine ullis","ov. medic. 32","Virginibus cordi grataque **forma** **sua** est.","suus; forma-formus",7
18,"luc. 6.20","Humanusque labor, facilis, **licet** **ardua** tollat,","ov. medic. 29","Rure latent finguntque comas; **licet** **arduus** illas","licet; arduus",7
19,"luc. 7.354","Non **iratorum** populis urbique **deorum** est,","ov. medic. 83","Quamvis tura **deos** **irataque** numina placent,","irascor-iratus; deus",7
20,"luc. 3.672","Alter: at hi tortum **validis** aplustre **lacertis**","ov. medic. 75","Da **validis** iuvenum pariter subigenda **lacertis**:","lacerta-lacertus; ualidus",7
