# Tesserae V3 results
#
# session   = 00003bb4
# source    = ovid.medicamina_faciei_femineae
# target    = lucan.bellum_civile
# unit      = phrase
# feature   = stem
# stopsize  = 20
# stbasis   = corpus
# stopwords = qui quis sum et in is hic non ego ut cum tu ad ille quod ab si atque neque sed
# max_dist  = 10
# dibasis   = freq
# cutoff    = 7
# filter    = off

"RESULT","TARGET_LOC","TARGET_TXT","SOURCE_LOC","SOURCE_TXT","SHARED","SCORE"
1,"luc. 9.158","Evolvam busto iam numen gentibus Isin, / Et sacer in Magni cineres mactabitur Apis, / Et tectum **lino** spargam **per** vulgus Osirin, / Suppositisque deis uram caput.","ov. medic. 81","Ut coeant apteque **lini** **per** corpora possint, / Adice de flavis Attica mella favis.","per; linum-linus",9
2,"luc. 9.920","Et larices fumoque gravem serpentibus urunt / Abrotanum, et longe nascentis **cornua** **cervi**.","ov. medic. 59","Et quae prima cadent vivaci **cornua** **cervo**, / Contere in haec (solidi sexta fac assis eat).","cornu; ceruus",9
3,"luc. 4.169","Postquam spatio languentia nullo / Mutua **conspicuos** **habuerunt** lumina vultus, / Et fratres natosque suos videre patresque, / Deprensum est civile nefas!","ov. medic. 18","Vultis inaurata corpora veste tegi, / Vultis odoratos positu variare capillos, / **Conspicuam** gemmis vultis **habere** manum:","conspicuus; habeo",8
4,"luc. 2.390","nullosque Catonis in actus / Subrepsit partemque tulit **sibi** nata **voluptas**.","ov. medic. 31","Est etiam placuisse **sibi** cuicumque **voluptas**;","sui; uoluptas",8
5,"luc. 6.454","Nec noxia tantum / Pocula proficiunt aut cum turgentia **succo** / Frontis **amaturae** subducunt pignora fetae.","ov. medic. 37","Nec vos graminibus nec mixto credite **suco**, / Nec temptate nocens virus **amantis** equae;","amo; suco",8
6,"luc. 10.123","Tyrio quorum pars maxima **suco** / Cocta diu, **virus** non uno duxit aheno;","ov. medic. 37","Nec vos graminibus nec mixto credite **suco**, / Nec temptate nocens **virus** amantis equae;","suco-sucus; uirus",8
7,"luc. 2.358","Turritaque **premens** frontem **matrona** corona / Translata vetuit contingere limina planta.","ov. medic. 13","Cum **matrona**, **premens** altum rubicunda sedile, / Assiduum duro pollice nebat opus, / Ipsaque claudebat quos filia paverat agnos, / Ipsa dabat virgas caesaque ligna foco.","matrona; premo",8
8,"luc. 4.11","Colle tumet **modico**, lenique excrevit in altum / **Pingue** solum tumulo:","ov. medic. 87","Parte minus quarta dereptum cortice gummi, / Et **modicum** e myrrhis **pinguibus** adde cubum.","pingue-pinguis; modicum-modicus",8
9,"luc. 10.125","Pars **auro** plumata **nitet**;","ov. medic. 51","Dic age, cum teneros somnus dimiserit artus, / Candida quo possint **ora** **nitere** modo.","niteo; aurum",8
10,"luc. 1.213","Fonte cadit **modico**, **parvisque** impellitur undis / Puniceus Rubicon, cum fervida canduit aestas:","ov. medic. 87","Parte **minus** quarta dereptum cortice gummi, / Et **modicum** e myrrhis pinguibus adde cubum.","paruus; modicum-modicus",8
11,"luc. 6.827","**Sextoque** ad castra parentis / **It** comes:","ov. medic. 59","Et quae prima cadent vivaci cornua cervo, / Contere in haec (solidi **sexta** fac assis **eat**).","sextus; eo",8
12,"luc. 3.449","Et tantum miseris **irasci** **numina** possunt.","ov. medic. 83","Quamvis tura deos **irataque** **numina** placent, / Non tamen accensis omnia danda focis.","irascor; numen",8
13,"luc. 4.56","Sed postquam vernus calidum Titana recepit / Sidera respiciens delapsae portitor Helles, / Atque iterum, **aequatis** ad iustae pondera **Librae** / Temporibus, vicere dies:","ov. medic. 71","Utraque sex habeant **aequo** discrimine **libras**, / Utraque da nigris comminuenda molis.","aequo; libra",7
14,"luc. 8.663","At Magni cum terga sonent et pectora ferro, / Permansisse decus sacrae venerabile formae, / **Iratamque** **deis** faciem, nil ultima mortis / Ex habitu vultuque viri mutasse, fatentur / Qui lacerum videre caput.","ov. medic. 83","Quamvis tura **deos** **irataque** numina placent, / Non tamen accensis omnia danda focis.","irascor-iratus; deus",7
15,"luc. 9.911","Qui, tunc Romana secutus / Signa, simul iussit statui tentoria ductor, / Primum, quas valli spatium comprendit, arenas / Expurgat **cantu**, verbisque fugantibus **angues**.","ov. medic. 39","Nec mediae Marsis finduntur **cantibus** **angues**, / Nec redit in fontes unda supina suos;","cantus; anguis",7
16,"luc. 10.204","**Luna** **suis** vicibus Tethyn terrenaque miscet.","ov. medic. 41","Et quamvis aliquis Temesaea removerit aera, / Numquam **Luna** **suis** excutietur equis.","luna-luno; suo-sus-suus",7
17,"luc. 5.424","Sidera prima poli, Phoebo labente sub undas, / Exierant, et **luna** **suas** iam fecerat umbras, / Cum pariter solvere rates, totosque rudentes / Laxavere sinus:","ov. medic. 41","Et quamvis aliquis Temesaea removerit aera, / Numquam **Luna** **suis** excutietur equis.","luna-luno; suo-suus",7
18,"luc. 6.55","Tot potuere manus adiungere Seston Abydo, / Ingestoque solo Phryxeum elidere pontum, / Aut Pelopis latis Ephyren abrumpere regnis, / Et ratibus longae flexus donare Maleae, / Aut **aliquem** mundi, **quamvis** natura negasset, / In melius mutare locum.","ov. medic. 41","Et **quamvis** **aliquis** Temesaea removerit aera, / Numquam Luna suis excutietur equis.","quamuis-quiuis; aliquis",7
